,Date,figi,operation,order_id
0,2021_09_02-19:34:48,BBG000BC9938,Buy,295904547200
1,2021_09_02-19:34:49,BBG000BC9938,Sell,295905227060
2,2021_09_03-13:15:35,BBG000BC9938,ReallSell,295905227060
3,2021_09_03-13:41:10,BBG000BC9938,ReallSell,295905227060
4,2021_09_03-19:04:42,BBG000BC9938,Buy,296530856070
5,2021_09_07-10:56:36,BBG000BC9938,Sell,296779295780
6,2021_09_07-10:58:27,BBG000BC9938,ReallSell,296779295780
7,2021_09_07-17:23:24,BBG000BC9938,Buy,297053183190
8,2021_09_07-17:23:27,BBG000BC9938,Sell,297055577580
9,2021_09_08-10:58:47,BBG000BC9938,Sell,297426338430
10,2021_09_08-18:33:02,BBG000BC9938,ReallSell,297426338430
11,2021_09_08-18:37:55,BBG000BP52R2,Buy,297828301580
12,2021_09_08-18:37:58,BBG000BP52R2,Sell,297829598270
13,2021_09_08-18:43:02,BBG000BP52R2,Sell,297836140660
14,2021_09_08-22:08:22,BBG000BP52R2,ReallSell,297836140660
15,2021_09_08-22:11:25,BBG000BLF8D2,Buy,298036631560
16,2021_09_08-22:11:27,BBG000BLF8D2,Sell,298037216800
17,2021_09_09-10:12:23,BBG000BLF8D2,ReallSell,298037216800
18,2021_09_09-16:59:20,BBG0025Y4RY4,Buy,298340226240
19,2021_09_09-16:59:22,BBG0025Y4RY4,Sell,298342436290
20,2021_09_09-17:12:47,BBG0025Y4RY4,ReallSell,298342436290
21,2021_09_09-17:19:04,BBG000BT1715,Buy,298379803590
22,2021_09_09-17:19:06,BBG000BT1715,Sell,298381562580
23,2021_09_10-10:20:54,BBG000BT1715,Sell,298810158030
24,2021_09_10-21:35:54,BBG000BT1715,ReallSell,298810158030
25,2021_09_10-21:41:14,BBG000BM7HL0,Buy,299402808040
26,2021_09_10-21:41:16,BBG000BM7HL0,Sell,299403960850
27,2021_09_11-23:14:28,BBG000BM7HL0,ReallSell,299403960850
28,2021_09_13-16:45:38,BBG000BPD168,Buy,299700840910
29,2021_09_13-16:45:41,BBG000BPD168,Sell,299703854500
30,2021_09_14-10:28:44,BBG000BPD168,Sell,300297144500
31,2021_09_15-11:44:44,BBG000BPD168,Sell,301063546530
32,2021_09_16-10:47:57,BBG000BPD168,Sell,301699377180
33,2021_09_17-14:29:53,BBG000BPD168,Sell,302547259020
34,2021_09_20-11:00:27,BBG000BPD168,Sell,303266938680
35,2021_09_21-10:30:36,BBG000BPD168,Sell,304278788800
36,2021_09_22-10:08:31,BBG000BPD168,Sell,305170213520
37,2021_09_23-10:07:01,BBG000BPD168,Sell,305986081820
38,2021_09_24-10:22:55,BBG000BPD168,Sell,306700890150
39,2021_09_24-16:29:25,BBG000BPD168,ReallSell,306700890150
40,2021_09_24-17:45:44,BBG000BMY992,Buy,307008136910
41,2021_09_24-17:45:47,BBG000BMY992,Sell,307010652140
42,2021_09_24-17:53:09,BBG000BMY992,ReallSell,307010652140
43,2021_09_24-17:59:57,BBG000BMY992,Buy,307032247940
44,2021_09_24-17:59:59,BBG000BMY992,Sell,307033734660
45,2021_09_24-18:07:37,BBG000BMY992,ReallSell,307033734660
46,2021_09_24-18:13:44,BBG000DQLV23,Buy,307050479190
47,2021_09_24-18:13:46,BBG000DQLV23,Sell,307051800040
48,2021_09_27-11:41:48,BBG000DQLV23,Sell,307364605730
49,2021_09_28-12:11:20,BBG000DQLV23,Sell,308082848530
50,2021_09_29-10:59:59,BBG000DQLV23,Sell,308850380900
51,2021_09_30-12:41:29,BBG000DQLV23,ReallSell,308850380900
52,2021_09_30-17:56:48,BBG000C5HS04,Buy,310001178160
53,2021_09_30-17:56:50,BBG000C5HS04,Sell,310003324730
54,2021_09_30-19:57:36,BBG000C5HS04,Sell,310207682760
55,2021_10_01-11:03:16,BBG000C5HS04,Sell,310509418260
56,2021_10_01-17:26:20,BBG000C5HS04,Sell,310809603380
57,2021_10_01-22:49:15,BBG000C5HS04,ReallSell,310809603380
58,2021_10_04-17:27:32,BBG000CH5208,Buy,311586121250
59,2021_10_04-17:27:35,BBG000CH5208,Sell,311588709220
60,2021_10_04-20:40:35,BBG000CH5208,Sell,311929313940
61,2021_10_05-11:22:49,BBG000CH5208,Sell,312199366450
62,2021_10_05-16:35:34,BBG000CH5208,ReallSell,312199366450
63,2021_10_05-18:59:30,BBG000BFDLV8,Buy,312556599910
64,2021_10_05-18:59:33,BBG000BFDLV8,Sell,312557699070
65,2021_10_06-10:37:20,BBG000BFDLV8,Sell,312827020620
66,2021_10_07-16:35:34,BBG000BFDLV8,ReallSell,312827020620
67,2021_10_07-18:07:25,BBG000BS5170,Buy,313970805470
68,2021_10_07-18:07:27,BBG000BS5170,Sell,313971948030
69,2021_10_07-18:17:40,BBG000BS5170,ReallSell,313971948030
70,2021_10_07-18:18:53,BBG000BFDLV8,Buy,313986940790
71,2021_10_07-18:18:55,BBG000BFDLV8,Sell,313988983400
72,2021_10_07-19:31:18,BBG000BFDLV8,ReallSell,313988983400
73,2021_10_07-20:30:08,BBG000B9ZXB4,Buy,314097408090
74,2021_10_07-20:30:10,BBG000B9ZXB4,Sell,314098251860
75,2021_10_08-10:18:25,BBG000B9ZXB4,ReallSell,314098251860
76,2021_10_08-20:36:42,BBG000MM2P62,Buy,314721893160
77,2021_10_08-20:36:44,BBG000MM2P62,Sell,314722710150
78,2021_10_08-21:09:29,BBG000MM2P62,ReallSell,314722710150
79,2021_10_08-22:44:03,BBG000MM2P62,Buy,314819318030
80,2021_10_08-22:44:05,BBG000MM2P62,Sell,314820045020
81,2021_10_11-11:23:56,BBG000MM2P62,Sell,314871203830
82,2021_10_12-10:13:00,BBG000MM2P62,Sell,315405263940
83,2021_10_13-10:38:12,BBG000MM2P62,Sell,316047065770
84,2021_10_14-10:10:27,BBG000MM2P62,Sell,316666469320
85,2021_10_15-10:10:50,BBG000MM2P62,Sell,317219622620
86,2021_10_18-10:12:25,BBG000MM2P62,Sell,317740783390
87,2021_10_18-18:11:38,BBG000MM2P62,ReallSell,317740783390
88,2021_10_18-19:47:27,BBG000NDV1D4,Buy,318156010650
89,2021_10_18-19:47:30,BBG000NDV1D4,Sell,318156747700
90,2021_10_19-11:58:27,BBG000NDV1D4,ReallSell,318156747700
91,2021_10_20-21:24:21,BBG000BMW2Z0,Buy,319309053980
92,2021_10_20-21:24:23,BBG000BMW2Z0,Sell,319309860110
93,2021_10_21-12:05:03,BBG000BMW2Z0,Sell,319448260880
94,2021_10_22-11:51:49,BBG000BMW2Z0,Sell,319988517740
95,2021_10_22-17:21:41,BBG000BMW2Z0,ReallSell,319988517740
96,2021_10_25-18:04:12,BBG000C0G1D1,Buy,320816827150
97,2021_10_25-18:04:14,BBG000C0G1D1,Sell,320818288520
98,2021_10_25-18:31:11,BBG000C0G1D1,ReallSell,320818288520
99,2021_10_26-19:04:04,BBG000NDV1D4,Buy,321518751100
100,2021_10_26-19:04:06,BBG000NDV1D4,Sell,321520314380
101,2021_10_27-10:47:44,BBG000NDV1D4,Sell,321798257440
102,2021_10_28-10:40:00,BBG000NDV1D4,Sell,322439532020
103,2021_10_28-17:12:18,BBG000NDV1D4,ReallSell,322439532020
104,2021_10_29-18:17:24,BBG000C1BW00,Buy,323427005950
105,2021_10_29-18:17:26,BBG000C1BW00,Sell,323428400260
106,2021_10_29-19:01:48,BBG000C1BW00,ReallSell,323428400260
107,2021_11_01-19:35:37,BBG000VPGNR2,Buy,324080373790
108,2021_11_01-19:35:39,BBG000VPGNR2,Sell,324081325020
109,2021_11_02-12:17:54,BBG000VPGNR2,Sell,324327640220
110,2021_11_02-16:51:16,BBG000VPGNR2,ReallSell,324327640220
111,2021_11_02-17:35:49,BBG000BLNNH6,Buy,324526442000
112,2021_11_02-17:35:51,BBG000BLNNH6,Sell,324527853840
113,2021_11_02-17:39:23,BBG000BLNNH6,ReallSell,324527853840
114,2021_11_02-22:29:48,BBG000FQ6PY6,Buy,324787203750
115,2021_11_02-22:29:50,BBG000FQ6PY6,Sell,324788378000
116,2021_11_03-10:15:33,BBG000FQ6PY6,ReallSell,324788378000
117,2021_11_04-18:09:45,BBG000CVWGS6,Buy,R21340802
118,2021_11_04-18:09:47,BBG000CVWGS6,Sell,325651650270
119,2021_11_04-18:16:07,BBG000CVWGS6,ReallSell,325651650270
120,2021_11_04-18:33:11,BBG000PSKYX7,Buy,R21367790
121,2021_11_04-18:33:14,BBG000PSKYX7,Sell,325682579980
122,2021_11_04-19:28:17,BBG000PSKYX7,ReallSell,325682579980
123,2021_11_04-20:26:09,BBG000BMH2Q7,Buy,325781144800
124,2021_11_04-20:26:12,BBG000BMH2Q7,Sell,325782144450
125,2021_11_04-21:11:31,BBG000BMH2Q7,ReallSell,325782144450
126,2021_11_04-21:51:47,BBG000PSKYX7,Buy,325853477110
127,2021_11_04-21:51:49,BBG000PSKYX7,Sell,325854649880
128,2021_11_05-11:30:26,BBG000PSKYX7,ReallSell,325854649880
129,2021_11_05-16:50:54,BBG000CVWGS6,Buy,326150781640
130,2021_11_05-16:50:56,BBG000CVWGS6,Sell,326152884550
131,2021_11_05-18:03:41,BBG000CVWGS6,ReallSell,326152884550
132,2021_11_05-18:07:14,BBG000BVMGF2,Buy,326251360590
133,2021_11_05-18:07:16,BBG000BVMGF2,Sell,326252540390
134,2021_11_08-12:18:23,BBG000BVMGF2,ReallSell,11111
135,2021_11_08-19:42:59,BBG000FQ6PY6,Buy,326910569230
136,2021_11_08-19:43:01,BBG000FQ6PY6,Sell,326911769440
137,2021_11_08-20:27:26,BBG000FQ6PY6,ReallSell,11111
138,2021_11_08-20:33:19,BBG000BMH2Q7,Buy,326953856650
139,2021_11_08-20:33:21,BBG000BMH2Q7,Sell,326954672330
140,2021_11_08-20:39:28,BBG000BMH2Q7,ReallSell,11111
141,2021_11_08-20:45:12,BBG0077VNXV6,Buy,326962781880
142,2021_11_08-20:45:14,BBG0077VNXV6,Sell,326963796390
143,2021_11_08-20:57:32,BBG0077VNXV6,ReallSell,11111
144,2021_11_08-22:56:54,BBG000BMH2Q7,Buy,327061232950
145,2021_11_08-22:56:56,BBG000BMH2Q7,Sell,327062141950
146,2021_11_09-11:51:35,BBG000BMH2Q7,Sell,327150746930
147,2021_11_09-17:45:07,BBG000BMH2Q7,Buy,327329004510
148,2021_11_09-18:06:11,BBG000BMH2Q7,Sell,327376000590
149,2021_11_09-18:26:55,BBG000BMH2Q7,Sell,327411439100
150,2021_11_09-22:42:04,BBG000BMH2Q7,ReallSell,11111
151,2021_11_09-22:47:38,BBG000FQ6PY6,Buy,327673936140
152,2021_11_09-22:47:40,BBG000FQ6PY6,Sell,327674849270
153,2021_11_10-10:14:36,BBG000FQ6PY6,ReallSell,11111
154,2021_11_12-21:49:24,BBG000BVMGF2,Buy,329387452850
155,2021_11_12-21:49:26,BBG000BVMGF2,Sell,329388079370
156,2021_11_15-10:51:47,BBG000BVMGF2,Sell,329496313020
157,2021_11_15-14:05:17,BBG000BVMGF2,ReallSell,11111
158,2021_11_15-19:45:37,BBG000BQ4WF8,Buy,329822690970
159,2021_11_15-19:45:39,BBG000BQ4WF8,Sell,329824071410
160,2021_11_15-19:59:13,BBG000BQ4WF8,ReallSell,11111
161,2021_11_19-21:20:43,BBG000CVWGS6,Buy,R25689905
162,2021_11_19-21:20:45,BBG000CVWGS6,Sell,332083945350
163,2021_11_19-22:09:47,BBG000CVWGS6,Sell,332116876810
164,2021_11_19-22:18:09,BBG000CVWGS6,Sell,332121509380
165,2021_11_19-22:21:40,BBG000CVWGS6,Sell,332123563800
166,2021_11_19-22:33:44,BBG000CVWGS6,Sell,332131115140
167,2021_11_19-22:37:24,BBG000CVWGS6,Sell,332133509140
168,2021_11_19-22:42:58,BBG000CVWGS6,Sell,332137030480
169,2021_11_19-22:49:51,BBG000CVWGS6,Sell,332141107920
170,2021_11_22-09:57:42,BBG000CVWGS6,Sell,332200399650
171,2021_11_22-11:31:15,BBG000CVWGS6,ReallSell,11111
172,2021_11_22-19:17:03,BBG000BMH2Q7,Buy,332573712700
173,2021_11_22-19:17:06,BBG000BMH2Q7,Sell,332575205490
174,2021_11_22-19:17:41,BBG000BMH2Q7,Sell,332575948320
175,2021_11_22-19:24:19,BBG000BMH2Q7,Sell,332584356140
176,2021_11_22-19:30:54,BBG000BMH2Q7,Sell,332592777590
177,2021_11_22-19:37:31,BBG000BMH2Q7,Sell,332601146830
178,2021_11_22-19:44:13,BBG000BMH2Q7,Sell,332609821570
179,2021_11_22-19:50:51,BBG000BMH2Q7,Sell,332619248360
180,2021_11_22-19:57:12,BBG000BMH2Q7,ReallSell,11111
181,2021_11_22-21:40:03,BBG000HS77T5,Buy,332721612100
182,2021_11_22-21:40:05,BBG000HS77T5,Sell,332722261570
183,2021_11_22-21:40:31,BBG000HS77T5,Sell,332722537090
184,2021_11_22-21:47:15,BBG000HS77T5,Sell,332727395490
185,2021_11_22-21:53:53,BBG000HS77T5,Sell,332732111880
186,2021_11_22-22:00:28,BBG000HS77T5,Sell,332737356490
187,2021_11_22-22:35:43,BBG000HS77T5,Sell,332762485820
188,2021_11_22-22:42:36,BBG000HS77T5,Sell,332767290990
189,2021_11_22-22:49:08,BBG000HS77T5,Sell,332772260780
190,2021_11_22-22:55:52,BBG000HS77T5,Sell,332777404200
191,2021_11_22-23:02:26,BBG000HS77T5,Sell,332781958450
192,2021_11_23-10:07:07,BBG000HS77T5,Sell,332858242460
193,2021_11_23-11:10:02,BBG000HS77T5,Sell,332913826670
194,2021_11_23-17:14:25,BBG000HS77T5,Sell,333106950310
195,2021_11_23-17:21:21,BBG000HS77T5,Sell,333109464690
196,2021_11_23-17:27:46,BBG000HS77T5,Sell,333111470460
197,2021_11_23-17:34:35,BBG000HS77T5,ReallSell,11111
198,2021_11_23-22:49:45,BBG000BMH2Q7,Buy,333455120260
199,2021_11_23-22:49:47,BBG000BMH2Q7,Sell,333456297840
200,2021_11_23-22:50:27,BBG000BMH2Q7,Sell,333457264120
201,2021_11_23-22:57:08,BBG000BMH2Q7,Sell,333463580640
202,2021_11_23-23:04:02,BBG000BMH2Q7,Sell,333467107840
203,2021_11_24-10:28:14,BBG000BMH2Q7,ReallSell,11111
204,2021_11_24-20:24:06,BBG000BT13B3,Buy,333997357500
205,2021_11_24-20:24:08,BBG000BT13B3,Sell,333998066090
206,2021_11_24-20:25:32,BBG000BT13B3,Sell,333998955800
207,2021_11_24-20:32:18,BBG000BT13B3,Sell,334002625560
208,2021_11_24-20:39:00,BBG000BT13B3,Sell,334006411090
209,2021_11_24-20:45:39,BBG000BT13B3,ReallSell,11111
210,2021_11_24-21:08:07,BBG000DN7P92,Buy,334024745260
211,2021_11_24-21:08:10,BBG000DN7P92,Sell,334025514470
212,2021_11_24-21:09:03,BBG000DN7P92,Sell,334026061850
213,2021_11_24-21:15:48,BBG000DN7P92,Sell,334030284770
214,2021_11_24-21:22:22,BBG000DN7P92,Sell,334034362730
215,2021_11_24-21:29:00,BBG000DN7P92,Sell,334038708180
216,2021_11_24-21:35:43,BBG000DN7P92,Sell,334043306460
217,2021_11_24-21:42:21,BBG000DN7P92,Sell,334049393570
218,2021_11_24-21:49:07,BBG000DN7P92,Sell,334067140570
219,2021_11_24-21:55:46,BBG000DN7P92,Sell,334086966020
220,2021_11_24-22:02:21,BBG000DN7P92,Sell,334106863070
221,2021_11_24-22:09:03,BBG000DN7P92,Sell,334129685800
222,2021_11_24-22:15:45,BBG000DN7P92,Sell,334151977890
223,2021_11_24-22:35:43,BBG000DN7P92,Sell,334214708190
224,2021_11_24-22:42:20,BBG000DN7P92,Sell,334235249900
225,2021_11_24-22:48:56,BBG000DN7P92,Sell,334255834590
226,2021_11_24-22:55:40,BBG000DN7P92,Sell,334276674600
227,2021_11_24-23:02:27,BBG000DN7P92,Sell,334297459910
228,2021_11_25-10:13:01,BBG000DN7P92,Sell,KEV75329087326qfvJbj
229,2021_11_26-10:42:51,BBG000DN7P92,Sell,334501402420
230,2021_11_26-11:28:13,BBG000DN7P92,Sell,334549602240
231,2021_11_26-13:02:50,BBG000DN7P92,Sell,334634919770
232,2021_11_26-13:11:57,BBG000DN7P92,Sell,334641083710
233,2021_11_26-15:40:51,BBG000DN7P92,Sell,334725551050
234,2021_11_26-17:28:24,BBG000DN7P92,Sell,334771376430
235,2021_11_26-17:35:42,BBG000DN7P92,Sell,334787064350
236,2021_11_26-17:43:05,BBG000DN7P92,Sell,334803638230
237,2021_11_26-17:50:18,BBG000DN7P92,Sell,334819415610
238,2021_11_26-17:57:32,BBG000DN7P92,Sell,334833687260
239,2021_11_26-18:04:42,BBG000DN7P92,Sell,334846707240
240,2021_11_26-18:12:06,BBG000DN7P92,Sell,334858653570
241,2021_11_26-18:19:31,BBG000DN7P92,Sell,334871215130
242,2021_11_26-18:26:28,BBG000DN7P92,Sell,334881625920
243,2021_11_26-18:33:57,BBG000DN7P92,Sell,334892709760
244,2021_11_26-18:41:31,BBG000DN7P92,Sell,334903189970
245,2021_11_26-18:48:52,BBG000DN7P92,Sell,334912577870
246,2021_11_26-18:56:05,BBG000DN7P92,Sell,334922332270
247,2021_11_26-19:03:41,BBG000DN7P92,Sell,334933140530
248,2021_11_26-19:10:45,BBG000DN7P92,Sell,334941825050
249,2021_11_26-19:17:54,BBG000DN7P92,Sell,334950763020
250,2021_11_26-19:25:12,BBG000DN7P92,Sell,334958453590
251,2021_11_26-19:32:21,BBG000DN7P92,Sell,334967796870
252,2021_11_26-19:39:50,BBG000DN7P92,Sell,334976711820
253,2021_11_26-19:46:58,BBG000DN7P92,Sell,334985703700
254,2021_11_26-19:54:22,BBG000DN7P92,Sell,334994944890
255,2021_11_26-20:01:48,BBG000DN7P92,Sell,335001648540
256,2021_11_26-20:09:17,BBG000DN7P92,Sell,335006491280
257,2021_11_26-20:16:37,BBG000DN7P92,Sell,335014503120
258,2021_11_26-20:23:57,BBG000DN7P92,Sell,335022506300
259,2021_11_26-20:31:20,BBG000DN7P92,Sell,335030739410
260,2021_11_26-20:38:54,BBG000DN7P92,Sell,335038583560
261,2021_11_26-20:46:30,BBG000DN7P92,Sell,335045055640
262,2021_11_26-20:53:36,BBG000DN7P92,Sell,335052948620
263,2021_11_26-21:01:06,BBG000DN7P92,Sell,335061913010
264,2021_11_26-21:08:23,BBG000DN7P92,Sell,335062345310
265,2021_11_26-21:15:37,BBG000DN7P92,Sell,335062709300
266,2021_11_26-21:22:51,BBG000DN7P92,Sell,335062948190
267,2021_11_26-21:30:06,BBG000DN7P92,Sell,335063182720
268,2021_11_26-21:37:21,BBG000DN7P92,Sell,335063373210
269,2021_11_26-21:44:49,BBG000DN7P92,Sell,335063571510
270,2021_11_26-21:52:15,BBG000DN7P92,Sell,335063814570
271,2021_11_26-21:59:25,BBG000DN7P92,Sell,335064024100
272,2021_11_26-22:06:46,BBG000DN7P92,Sell,335064180160
273,2021_11_26-22:14:03,BBG000DN7P92,Sell,335064333780
274,2021_11_26-22:21:31,BBG000DN7P92,Sell,335064517110
275,2021_11_26-22:28:51,BBG000DN7P92,Sell,335064652050
276,2021_11_26-22:35:51,BBG000DN7P92,Sell,335064795200
277,2021_11_26-22:43:24,BBG000DN7P92,Sell,335064945220
278,2021_11_26-22:50:39,BBG000DN7P92,Sell,335065070290
279,2021_11_26-22:57:52,BBG000DN7P92,Sell,335065221960
280,2021_11_26-23:05:02,BBG000DN7P92,Sell,335065436880
281,2021_11_29-10:41:53,BBG000DN7P92,Sell,335102193900
282,2021_11_29-18:27:52,BBG000DN7P92,Sell,335415763410
283,2021_11_29-18:34:18,BBG000DN7P92,Sell,335424661630
284,2021_11_29-18:41:06,BBG000DN7P92,Sell,335433867860
285,2021_11_29-18:47:46,BBG000DN7P92,Sell,335441553170
286,2021_11_29-18:54:24,BBG000DN7P92,Sell,335449447560
287,2021_11_29-19:01:07,BBG000DN7P92,Sell,335457271240
288,2021_11_29-19:07:48,BBG000DN7P92,Sell,335464043710
289,2021_11_29-19:14:29,BBG000DN7P92,Sell,335470899220
290,2021_11_29-19:21:10,BBG000DN7P92,Sell,335477577720
291,2021_11_29-19:27:51,BBG000DN7P92,Sell,335484787200
292,2021_11_29-19:34:37,BBG000DN7P92,Sell,335493043350
293,2021_11_29-19:41:17,BBG000DN7P92,Sell,335500264430
294,2021_11_29-19:47:53,BBG000DN7P92,Sell,335506105860
295,2021_11_29-19:54:40,BBG000DN7P92,Sell,335511805190
296,2021_11_29-20:01:24,BBG000DN7P92,Sell,335517128110
297,2021_11_29-20:08:11,BBG000DN7P92,Sell,335522587420
298,2021_11_29-20:14:47,BBG000DN7P92,Sell,335527628220
299,2021_11_29-20:21:21,BBG000DN7P92,Sell,335532363100
300,2021_11_29-20:27:56,BBG000DN7P92,Sell,335536887910
301,2021_11_29-20:34:35,BBG000DN7P92,Sell,335541454980
302,2021_11_29-20:41:19,BBG000DN7P92,Sell,335546806240
303,2021_11_29-20:48:00,BBG000DN7P92,Sell,335551287260
304,2021_11_29-20:54:45,BBG000DN7P92,Sell,335555954220
305,2021_11_29-21:01:17,BBG000DN7P92,Sell,335560393060
306,2021_11_29-21:07:47,BBG000DN7P92,Sell,335564688240
307,2021_11_29-21:14:28,BBG000DN7P92,Sell,335569129830
308,2021_11_29-21:21:09,BBG000DN7P92,Sell,335574347180
309,2021_11_29-21:27:48,BBG000DN7P92,Sell,335579093040
310,2021_11_29-21:34:16,BBG000DN7P92,Sell,335583350580
311,2021_11_29-21:40:52,BBG000DN7P92,Sell,335588498600
312,2021_11_29-21:47:38,BBG000DN7P92,Sell,335592904030
313,2021_11_29-21:54:24,BBG000DN7P92,Sell,335597280990
314,2021_11_29-22:00:59,BBG000DN7P92,Sell,335601629100
315,2021_11_29-22:07:40,BBG000DN7P92,Sell,335606088020
316,2021_11_29-22:14:16,BBG000DN7P92,Sell,335609501710
317,2021_11_29-22:20:59,BBG000DN7P92,Sell,335613273170
318,2021_11_29-22:27:42,BBG000DN7P92,Sell,335617243270
319,2021_11_29-22:34:19,BBG000DN7P92,Sell,335621567030
320,2021_11_29-22:41:05,BBG000DN7P92,Sell,335626535760
321,2021_11_29-22:47:35,BBG000DN7P92,Sell,335630752840
322,2021_11_29-22:54:12,BBG000DN7P92,Sell,335634930600
323,2021_11_29-23:00:46,BBG000DN7P92,Sell,335638611130
324,2021_11_30-11:47:42,BBG000DN7P92,Sell,335791451700
325,2021_11_30-17:17:02,BBG000DN7P92,Sell,335969161910
326,2021_11_30-17:25:32,BBG000DN7P92,Sell,335972886290
327,2021_11_30-17:32:54,BBG000DN7P92,Sell,335981025910
328,2021_11_30-17:40:33,BBG000DN7P92,Sell,335996333730
329,2021_11_30-17:47:59,BBG000DN7P92,Sell,336009895970
330,2021_11_30-17:55:41,BBG000DN7P92,Sell,336023112380
331,2021_11_30-18:03:24,BBG000DN7P92,Sell,336035127440
332,2021_11_30-18:10:49,BBG000DN7P92,Sell,336046232360
333,2021_11_30-18:18:22,BBG000DN7P92,Sell,336057042110
334,2021_11_30-18:25:56,BBG000DN7P92,Sell,336067746270
335,2021_11_30-18:33:21,BBG000DN7P92,Sell,336079339990
336,2021_11_30-18:41:00,BBG000DN7P92,Sell,336094893550
337,2021_11_30-18:48:33,BBG000DN7P92,Sell,336106533740
338,2021_11_30-18:55:57,BBG000DN7P92,Sell,336122122630
339,2021_11_30-19:03:28,BBG000DN7P92,Sell,336138029900
340,2021_11_30-19:11:14,BBG000DN7P92,Sell,336153394570
341,2021_11_30-19:18:49,BBG000DN7P92,Sell,336164724690
342,2021_11_30-19:26:13,BBG000DN7P92,Sell,336175123380
343,2021_11_30-19:33:46,BBG000DN7P92,Sell,336186157980
344,2021_11_30-19:41:21,BBG000DN7P92,Sell,336198205070
345,2021_11_30-19:49:05,BBG000DN7P92,Sell,336210123310
346,2021_11_30-19:56:33,BBG000DN7P92,Sell,336220914150
347,2021_11_30-20:04:22,BBG000DN7P92,Sell,336232467050
348,2021_11_30-20:11:57,BBG000DN7P92,Sell,336242573200
349,2021_11_30-20:19:28,BBG000DN7P92,Sell,336252230190
350,2021_11_30-20:26:48,BBG000DN7P92,Sell,336259781210
351,2021_11_30-20:34:15,BBG000DN7P92,Sell,336266908160
352,2021_11_30-20:41:34,BBG000DN7P92,Sell,336274102570
353,2021_11_30-20:49:30,BBG000DN7P92,Sell,336282957490
354,2021_11_30-20:57:04,BBG000DN7P92,Sell,336291337040
355,2021_11_30-21:04:32,BBG000DN7P92,Sell,336299034960
356,2021_11_30-21:12:01,BBG000DN7P92,Sell,336306420630
357,2021_11_30-21:19:54,BBG000DN7P92,Sell,336313895770
358,2021_11_30-21:27:40,BBG000DN7P92,Sell,336321263170
359,2021_11_30-21:35:01,BBG000DN7P92,Sell,336328315620
360,2021_11_30-21:42:25,BBG000DN7P92,Sell,336334699600
361,2021_11_30-21:49:48,BBG000DN7P92,Sell,336339808630
362,2021_11_30-21:57:03,BBG000DN7P92,Sell,336345469470
363,2021_11_30-22:04:22,BBG000DN7P92,Sell,336351954250
364,2021_11_30-22:11:56,BBG000DN7P92,Sell,336358059320
365,2021_11_30-22:19:20,BBG000DN7P92,Sell,336363822380
366,2021_11_30-22:26:36,BBG000DN7P92,Sell,336370103290
367,2021_11_30-22:33:52,BBG000DN7P92,Sell,336377750670
368,2021_11_30-22:41:24,BBG000DN7P92,Sell,336384436730
369,2021_11_30-22:48:57,BBG000DN7P92,Sell,336390680380
370,2021_11_30-22:56:29,BBG000DN7P92,Sell,336397569610
371,2021_11_30-23:03:52,BBG000DN7P92,Sell,336401913150
372,2021_12_01-19:29:27,BBG000DN7P92,Sell,336875081220
373,2021_12_01-19:36:46,BBG000DN7P92,Sell,336883840740
374,2021_12_01-19:44:15,BBG000DN7P92,Sell,336891305420
375,2021_12_01-19:51:32,BBG000DN7P92,Sell,336899404250
376,2021_12_01-19:59:03,BBG000DN7P92,Sell,336908660430
377,2021_12_01-20:06:34,BBG000DN7P92,Sell,336917260220
